name,step,checkpoint_path,image_path,continuous_re,continuous_ssim,best_threshold,best_threshold_re,best_threshold_ssim,square_min,square_mean,square_max,center_mean,center_max,edge_mean,background_mean,eps_min,eps_max,eps_mean,data_loss,pde_loss,boundary_loss,integral_data_loss
results_5_3_2_square_0_3GHz_B_to_epsbin_0p001_2k,18000.0,square_target\results_5_3_2_square_0_3GHz_B_to_epsbin_0p001_2k\checkpoint_adam_018000.pt,square_target\results_5_3_2_square_0_3GHz_B_to_epsbin_0p001_2k\comparison_adam_018000.png,0.2007283946428191,0.9316035444448552,2.1400000000000006,0.08101207169809153,0.9907645900300293,1.788472056388855,3.286371946334839,3.7994394302368164,3.6816089153289795,3.785653829574585,3.1546263694763184,1.0402666330337524,1.0,3.7994394302368164,1.3996435403823853,3.5147348853570293e-07,0.022122640162706375,0.00227976031601429,8.53843357617734e-06
results_5_3_2_square_0_3GHz_B_to_epsbin_0p003_2k,18000.0,square_target\results_5_3_2_square_0_3GHz_B_to_epsbin_0p003_2k\checkpoint_adam_018000.pt,square_target\results_5_3_2_square_0_3GHz_B_to_epsbin_0p003_2k\comparison_adam_018000.png,0.200186443360046,0.9321037003004633,2.1400000000000006,0.08067381522408568,0.9908393179024708,1.780930757522583,3.2919716835021973,3.8131046295166016,3.694159746170044,3.8017690181732178,3.1579089164733887,1.0397919416427612,1.0,3.8131046295166016,1.4001407623291016,3.520519271660305e-07,0.02198883891105652,0.0022517151664942503,8.536489985999651e-06
results_5_3_2_square_0_3GHz_B_to_epsbin_0p01_2k,18000.0,square_target\results_5_3_2_square_0_3GHz_B_to_epsbin_0p01_2k\checkpoint_adam_018000.pt,square_target\results_5_3_2_square_0_3GHz_B_to_epsbin_0p01_2k\comparison_adam_018000.png,0.1986126204061823,0.9334431739116518,2.120000000000001,0.08067381522408568,0.9908412834340492,1.768916130065918,3.304553270339966,3.840348482131958,3.7156264781951904,3.8253495693206787,3.1675286293029785,1.0387688875198364,1.0,3.840348482131958,1.4012943506240845,3.672280399769079e-07,0.021646739915013313,0.002213412895798683,8.53022538649384e-06
results_5_3_2_square_0_3GHz_current_best_to_paper_2k,16000.0,square_target\results_5_3_2_square_0_3GHz_current_best_to_paper_2k\checkpoint_adam_016000.pt,square_target\results_5_3_2_square_0_3GHz_current_best_to_paper_2k\comparison_adam_016000.png,0.6507911625577047,0.006172224061854508,1.2,0.6507913734559685,0.006171643346034391,1.0,1.0000009536743164,1.0000020265579224,1.0000015497207642,1.0000020265579224,1.0000008344650269,1.0,1.0,1.0000020265579224,1.0000001192092896,0.0007689375779591501,0.00728283915668726,0.026168115437030792,0.0036239747423678637
results_5_3_2_square_0_3GHz_current_best_to_paper_lamep_0p001_1k,15000.0,square_target\results_5_3_2_square_0_3GHz_current_best_to_paper_lamep_0p001_1k\checkpoint_adam_015000.pt,square_target\results_5_3_2_square_0_3GHz_current_best_to_paper_lamep_0p001_1k\comparison_adam_015000.png,0.25189955348714804,0.8870306740291476,1.9900000000000007,0.15441957755079966,0.9664966855018349,1.631631851196289,3.1284239292144775,3.956803560256958,3.8214361667633057,3.956803560256958,2.8974201679229736,1.0714324712753296,1.0,3.956803560256958,1.4005510807037354,9.727274118631613e-06,0.000872938078828156,0.00023690558737143874,6.879764259792864e-05
results_5_3_2_square_0_3GHz_current_best_to_paper_lamep_0p003_1k,15000.0,square_target\results_5_3_2_square_0_3GHz_current_best_to_paper_lamep_0p003_1k\checkpoint_adam_015000.pt,square_target\results_5_3_2_square_0_3GHz_current_best_to_paper_lamep_0p003_1k\comparison_adam_015000.png,0.2667465545715845,0.8690457716329317,1.9900000000000007,0.13555912411301138,0.9740297613088292,1.5196223258972168,3.0040552616119385,3.7453219890594482,3.64996075630188,3.7453219890594482,2.7887532711029053,1.0698529481887817,1.0,3.7453219890594482,1.379325270652771,1.976481689780485e-05,0.0009124632342718542,0.00032309896778315306,9.407974721398205e-05
results_5_3_2_square_0_3GHz_current_best_to_paper_lamep_0p01_1k,15000.0,square_target\results_5_3_2_square_0_3GHz_current_best_to_paper_lamep_0p01_1k\checkpoint_adam_015000.pt,square_target\results_5_3_2_square_0_3GHz_current_best_to_paper_lamep_0p01_1k\comparison_adam_015000.png,0.3206509553895675,0.7948957442974305,1.8500000000000005,0.24179536300201382,0.9183679421717397,1.3181191682815552,2.663641929626465,3.1228229999542236,3.10290265083313,3.1228229999542236,2.517221212387085,1.0649558305740356,1.0,3.1228229999542236,1.320745587348938,8.430797606706619e-05,0.0014056524960324168,0.0007025853265076876,0.00022642171825282276
results_5_3_2_square_0_3GHz_current_tv_plus_lep_0p001_14000,14000.0,square_target\results_5_3_2_square_0_3GHz_current_tv_plus_lep_0p001_14000\checkpoint_adam_014000.pt,square_target\results_5_3_2_square_0_3GHz_current_tv_plus_lep_0p001_14000\comparison_adam_014000.png,0.2136942126604061,0.9191214375445241,2.320000000000001,0.062314381634444777,0.9945442011508783,1.8618247509002686,3.155735492706299,3.396869421005249,3.3435051441192627,3.396869421005249,3.0931456089019775,1.047581434249878,1.0,3.396869421005249,1.3848860263824463,9.910621656672447e-07,0.03857361525297165,0.0045433975756168365,8.336963219335303e-06
results_5_3_2_square_0_3GHz_domain095_nohb_3k,3000.0,square_target\results_5_3_2_square_0_3GHz_domain095_nohb_3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_domain095_nohb_3k\comparison_adam_003000.png,0.3386455387902702,0.765168587828748,2.200000000000001,0.1721705071134103,0.9580189064440334,1.9369245767593384,2.5906665325164795,2.9129528999328613,2.8606300354003906,2.9129528999328613,2.500678539276123,1.0833152532577515,1.0,2.9129528999328613,1.3244915008544922,2.831636720657116e-06,0.2534301280975342,0.014219306409358978,9.020102879730985e-06
results_5_3_2_square_0_3GHz_edge_100_14000,14000.0,square_target\results_5_3_2_square_0_3GHz_edge_100_14000\checkpoint_adam_014000.pt,square_target\results_5_3_2_square_0_3GHz_edge_100_14000\comparison_adam_014000.png,0.6593802522307917,0.00636292287202471,2.000000000000001,0.6507913734559685,0.006171643346034391,1.998323917388916,1.9983237981796265,1.9983243942260742,1.998323917388916,1.9983243942260742,1.998323917388916,1.998323917388916,1.998323917388916,1.9983243942260742,1.998323917388916,1.9607712602009997e-05,1.1621711254119873,0.2607465386390686,1.2436645192792639e-05
