            x [m]            y [m]            z [m]   FieldxRe [V/m]   FieldxIm [V/m]   FieldyRe [V/m]   FieldyIm [V/m]   FieldzRe [V/m]   FieldzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             0.75                0                0                0                0                0                0      0.092293411      0.039371602
       0.74997878     0.0056435266                0                0                0                0                0      0.092229627      0.039331865
       0.74991506      0.011286733                0                0                0                0                0      0.092157587      0.039314892
       0.74980891      0.016929301                0                0                0                0                0      0.092077322      0.039320592
       0.74966031       0.02257091                0                0                0                0                0      0.091988869      0.039348908
       0.74946922      0.028211242                0                0                0                0                0      0.091892235      0.039399832
       0.74923575      0.033849973                0                0                0                0                0      0.091705985      0.039404184
       0.74895978      0.039486792                0                0                0                0                0      0.091473944      0.039398558
       0.74864149      0.045121372                0                0                0                0                0       0.09123411      0.039414696
       0.74828076        0.0507534                0                0                0                0                0      0.090986542      0.039452504
       0.74787766      0.056382552                0                0                0                0                0      0.090731315      0.039511785
       0.74743223      0.062008511                0                0                0                0                0      0.090425789      0.039557546
       0.74694449      0.067630962                0                0                0                0                0      0.090036079      0.039561227
       0.74641442      0.073249578                0                0                0                0                0      0.089639366      0.039584965
        0.7458421      0.078864053                0                0                0                0                0      0.089235775      0.039628446
       0.74522758      0.084474064                0                0                0                0                0      0.088825449      0.039691374
       0.74457085      0.090079285                0                0                0                0                0      0.088406801      0.039772194
       0.74387193       0.09567941                0                0                0                0                0      0.087863229      0.039781433
       0.74313092       0.10127411                0                0                0                0                0      0.087313794       0.03980805
       0.74234784       0.10686308                0                0                0                0                0      0.086758658      0.039851677
       0.74152267         0.112446                0                0                0                0                0      0.086197972      0.039911944
        0.7406556       0.11802256                0                0                0                0                0      0.085631929      0.039988399
       0.73974651       0.12359243                0                0                0                0                0      0.084982574      0.040027097
       0.73879558       0.12915531                0                0                0                0                0      0.084285654      0.040050492
        0.7378028       0.13471086                0                0                0                0                0      0.083584398      0.040087387
       0.73676825       0.14025879                0                0                0                0                0      0.082878985      0.040137295
       0.73569202       0.14579879                0                0                0                0                0      0.082169622      0.040199708
       0.73457408       0.15133052                0                0                0                0                0      0.081407011      0.040245008
       0.73341459       0.15685369                0                0                0                0                0       0.08048521      0.040207908
        0.7322135       0.16236797                0                0                0                0                0      0.079560794      0.040178929
       0.73097104       0.16787307                0                0                0                0                0      0.078633994      0.040157359
       0.72968715       0.17336865                0                0                0                0                0      0.077705018      0.040142652
        0.7283619       0.17885442                0                0                0                0                0      0.076774091      0.040134192
       0.72699547       0.18433006                0                0                0                0                0      0.075841449      0.040131323
       0.72558784       0.18979527                0                0                0                0                0      0.074907295      0.040133484
       0.72413915       0.19524972                0                0                0                0                0      0.073971845      0.040140055
       0.72264946       0.20069313                0                0                0                0                0      0.073035322      0.040150441
       0.72111887       0.20612517                0                0                0                0                0      0.072097942       0.04016405
       0.71954739       0.21154554                0                0                0                0                0      0.071159892      0.040180329
        0.7179352       0.21695393                0                0                0                0                0      0.070221417      0.040198661
       0.71628237       0.22235003                0                0                0                0                0      0.069145247      0.040156357
         0.714589       0.22773355                0                0                0                0                0      0.067678273      0.039922003
       0.71285516       0.23310417                0                0                0                0                0      0.066215187      0.039679624
       0.71108091        0.2384616                0                0                0                0                0      0.064756483      0.039428547
       0.70926642       0.24380551                0                0                0                0                0      0.063302688      0.039168067
       0.70741177       0.24913563                0                0                0                0                0      0.061854284      0.038897526
       0.70551711       0.25445163                0                0                0                0                0      0.060411774       0.03861624
       0.70358247       0.25975326                0                0                0                0                0      0.058975607      0.038323574
       0.70160794       0.26504013                0                0                0                0                0      0.057546284      0.038018897
       0.69959372       0.27031204                0                0                0                0                0      0.056124274      0.037701536
       0.69753993        0.2755686                0                0                0                0                0      0.054710053      0.037370875
       0.69544661       0.28080958                0                0                0                0                0      0.053304072      0.037026301
        0.6933139       0.28603467                0                0                0                0                0      0.051906779      0.036667213
       0.69114196       0.29124355                0                0                0                0                0      0.050518643      0.036292993
       0.68893087       0.29643595                0                0                0                0                0      0.048860691      0.035910357
       0.68668079       0.30161154                0                0                0                0                0      0.047186848       0.03550636
        0.6843918       0.30677009                0                0                0                0                0      0.045522176      0.035079435
       0.68206406       0.31191123                0                0                0                0                0        0.0438671      0.034628898
       0.67969769       0.31703472                0                0                0                0                0      0.042221997       0.03415408
       0.67729288       0.32214028                0                0                0                0                0      0.040587261      0.033654321
       0.67484969       0.32722759                0                0                0                0                0      0.038963258      0.033128992
       0.67236829       0.33229637                0                0                0                0                0      0.037350375       0.03257747
        0.6698488       0.33734632                0                0                0                0                0       0.03574897      0.031999137
       0.66729146       0.34237719                0                0                0                0                0      0.034159422      0.031393379
       0.66469628       0.34738865                0                0                0                0                0       0.03258206       0.03075964
       0.66206342       0.35238048                0                0                0                0                0      0.031017235      0.030097339
       0.65939313       0.35735232                0                0                0                0                0      0.029465316       0.02940592
       0.65668553       0.36230394                0                0                0                0                0      0.027926624      0.028684834
       0.65394068       0.36723506                0                0                0                0                0      0.026102226      0.028049212
       0.65115881       0.37214535                0                0                0                0                0      0.024274696      0.027382545
       0.64834011        0.3770346                0                0                0                0                0       0.02245654      0.026679372
       0.64548469       0.38190249                0                0                0                0                0      0.020649649      0.025902828
       0.64259273       0.38674876                0                0                0                0                0      0.018873965      0.024825851
       0.63966435       0.39157313                0                0                0                0                0      0.017125495      0.023710914
        0.6366998       0.39637533                0                0                0                0                0      0.015404675      0.022557592
       0.63369912       0.40115508                0                0                0                0                0      0.013711911      0.021365462
       0.63066262       0.40591213                0                0                0                0                0      0.012047631      0.020134127
       0.62759042       0.41064617                0                0                0                0                0      0.010412233      0.018863212
       0.62448263       0.41535699                0                0                0                0                0     0.0088060806      0.017552335
        0.6213395       0.42004427                0                0                0                0                0     0.0072295717      0.016201165
        0.6181612       0.42470777                0                0                0                0                0     0.0056830635      0.014809363
       0.61494792       0.42934722                0                0                0                0                0     0.0041669095      0.013376622
       0.61169982       0.43396237                0                0                0                0                0     0.0026392315      0.011934069
       0.60841703       0.43855295                0                0                0                0                0     0.0008713142      0.010645485
       0.60509986       0.44311869                0                0                0                0                0   -0.00087319012     0.0093094707
       0.60174841       0.44765934                0                0                0                0                0    -0.0025940363      0.007925733
       0.59836286       0.45217463                0                0                0                0                0    -0.0042909798     0.0064940043
        0.5949434       0.45666435                0                0                0                0                0       -0.0059638     0.0050140228
       0.59149033       0.46112818                0                0                0                0                0    -0.0076122396     0.0034855898
        0.5880037       0.46556592                0                0                0                0                0     -0.009236116     0.0019084609
        0.5844838       0.46997729                0                0                0                0                0     -0.010835197    0.00028246955
       0.58093083       0.47436205                0                0                0                0                0     -0.012409287    -0.0013925572
       0.57734495       0.47871995                0                0                0                0                0       -0.0139582    -0.0031167753
       0.57372642       0.48305076                0                0                0                0                0     -0.015340244    -0.0049613323
       0.57007533       0.48735419                0                0                0                0                0     -0.016421318    -0.0069820965
         0.566392       0.49163005                0                0                0                0                0     -0.017456383    -0.0090455674
       0.56267661       0.49587807                0                0                0                0                0     -0.018445248     -0.011151772
       0.55892932       0.50009799                0                0                0                0                0     -0.019387726      -0.01330072
       0.55515045       0.50428963                0                0                0                0                0     -0.020292481      -0.01548299
        0.5513401       0.50845265                0                0                0                0                0     -0.021446144     -0.017400943
       0.54749852       0.51258695                0                0                0                0                0     -0.022563551     -0.019367944
       0.54362595       0.51669222                0                0                0                0                0     -0.023644574     -0.021383943
       0.53972262       0.52076823                0                0                0                0                0     -0.024689117     -0.023448877
       0.53578871       0.52481472                0                0                0                0                0     -0.025697093     -0.025562689
       0.53182447       0.52883148                0                0                0                0                0     -0.026668426     -0.027725279
       0.52783012       0.53281832                0                0                0                0                0     -0.027603067      -0.02993655
       0.52380586       0.53677505                0                0                0                0                0     -0.028500976     -0.032196403
       0.51975197       0.54070133                0                0                0                0                0     -0.029362079      -0.03450463
