            x [m]            y [m]            z [m]   FieldxRe [V/m]   FieldxIm [V/m]   FieldyRe [V/m]   FieldyIm [V/m]   FieldzRe [V/m]   FieldzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             0.75                0                0                0                0                0                0      -0.01960426     -0.075271904
       0.74997878     0.0056435266                0                0                0                0                0     -0.019597454     -0.075264342
       0.74991506      0.011286733                0                0                0                0                0      -0.01962398     -0.075264476
       0.74980891      0.016929301                0                0                0                0                0     -0.019683797      -0.07527227
       0.74966031       0.02257091                0                0                0                0                0     -0.019776901     -0.075287715
       0.74946922      0.028211242                0                0                0                0                0     -0.019903341     -0.075310789
       0.74923575      0.033849973                0                0                0                0                0     -0.020031147     -0.075326242
       0.74895978      0.039486792                0                0                0                0                0     -0.020177491     -0.075342081
       0.74864149      0.045121372                0                0                0                0                0     -0.020357048      -0.07536526
       0.74828076        0.0507534                0                0                0                0                0     -0.020569915     -0.075395755
       0.74787766      0.056382552                0                0                0                0                0     -0.020816047     -0.075433493
       0.74743223      0.062008511                0                0                0                0                0      -0.02107895     -0.075471044
       0.74694449      0.067630962                0                0                0                0                0     -0.021345466     -0.075502276
       0.74641442      0.073249578                0                0                0                0                0     -0.021645229     -0.075540259
        0.7458421      0.078864053                0                0                0                0                0     -0.021978186     -0.075584888
       0.74522758      0.084474064                0                0                0                0                0     -0.022344297     -0.075636066
       0.74457085      0.090079285                0                0                0                0                0     -0.022742931     -0.075693443
       0.74387193       0.09567941                0                0                0                0                0      -0.02313032     -0.075739488
       0.74313092       0.10127411                0                0                0                0                0     -0.023550786     -0.075791381
       0.74234784       0.10686308                0                0                0                0                0     -0.024004335     -0.075849004
       0.74152267         0.112446                0                0                0                0                0     -0.024490962     -0.075912222
        0.7406556       0.11802256                0                0                0                0                0     -0.025010535     -0.075980894
       0.73974651       0.12359243                0                0                0                0                0     -0.025535025     -0.076045811
       0.73879558       0.12915531                0                0                0                0                0     -0.026076926     -0.076110534
        0.7378028       0.13471086                0                0                0                0                0     -0.026651718     -0.076179832
       0.73676825       0.14025879                0                0                0                0                0     -0.027259342     -0.076253556
       0.73569202       0.14579879                0                0                0                0                0      -0.02789972     -0.076331519
       0.73457408       0.15133052                0                0                0                0                0        -0.028556     -0.076409839
       0.73341459       0.15685369                0                0                0                0                0     -0.029191574     -0.076479748
        0.7322135       0.16236797                0                0                0                0                0     -0.029859748      -0.07655257
       0.73097104       0.16787307                0                0                0                0                0     -0.030560326     -0.076628089
       0.72968715       0.17336865                0                0                0                0                0     -0.031293351     -0.076706126
        0.7283619       0.17885442                0                0                0                0                0     -0.032058772     -0.076786496
       0.72699547       0.18433006                0                0                0                0                0     -0.032856442     -0.076868974
       0.72558784       0.18979527                0                0                0                0                0     -0.033686362     -0.076953374
       0.72413915       0.19524972                0                0                0                0                0     -0.034548424     -0.077039503
       0.72264946       0.20069313                0                0                0                0                0     -0.035442576     -0.077127181
       0.72111887       0.20612517                0                0                0                0                0     -0.036368731     -0.077216201
       0.71954739       0.21154554                0                0                0                0                0     -0.037326876      -0.07730639
        0.7179352       0.21695393                0                0                0                0                0     -0.038316865     -0.077397548
       0.71628237       0.22235003                0                0                0                0                0     -0.039278809     -0.077408895
         0.714589       0.22773355                0                0                0                0                0     -0.040089972     -0.077141985
       0.71285516       0.23310417                0                0                0                0                0     -0.040930714     -0.076864652
       0.71108091        0.2384616                0                0                0                0                0     -0.041801039     -0.076576665
       0.70926642       0.24380551                0                0                0                0                0     -0.042700879     -0.076277822
